uri,scheme,concept1,concept2,concept3,concept4,concept5,concept6,concept7,altLabel1,altLabel2,altLabel3,altLabel4,hiddenLabel@nl,type,scopeNote@nl,https://data.cultureelerfgoed.nl/vocab/id/rce#hasCode,https://data.cultureelerfgoed.nl/vocab/id/rce#hasReference,https://data.cultureelerfgoed.nl/vocab/id/rce#hasSourceId,https://data.cultureelerfgoed.nl/vocab/id/rce#hasSpecification,https://data.cultureelerfgoed.nl/vocab/id/rn#hasCorrelate,https://data.cultureelerfgoed.nl/vocab/id/rn#hasSpecificAbrCode
https://data.cultureelerfgoed.nl/term/id/rn/1844f1c4-7f73-4011-b6a2-dfc4cbe50ee2,,afval,,,,,,,,,,,AFVAL,,,AFVAL,,abr.artefact.0039,"Binnen vuursteen kan afval bestaan uit splinters, afslagen, klingen, opgebruikte of langs scheuren gespleten kernen, brokken, etc.",,
https://data.cultureelerfgoed.nl/term/id/rn/5b6ae93a-c762-4fd6-95e9-cdff482def4e,,,gietprop,,,,,,gietrest,,,,GIETPROP,,,GIETPROP,Kuijpers 2010,abr.artefact.0673,,,
https://data.cultureelerfgoed.nl/term/id/rn/f236505e-5d6a-414d-b819-e8fdd9c20511,,,eierschaal,,,,,,,,,,EIERSCHL,,,EIERSCHL,,abr.artefact.0443,,,
https://data.cultureelerfgoed.nl/term/id/rn/8c156e57-bc03-4796-a5af-ee0fc241836b,,,coproliet,,,,,,fossiel uitwerpsel,,,,COPROL,,,COPROL,mijnwoordenboek.nl,abr.artefact.0370,,,
https://data.cultureelerfgoed.nl/term/id/rn/f15298d2-88ad-4dc2-981b-3e2ae8f76c3e,,,steenkool,,,,,,,,,,STEENKL,,,STEENKL,,abr.artefact.2109,,,
https://data.cultureelerfgoed.nl/term/id/rn/e6aa631c-6ea5-46b5-a3bd-3d1403594b7b,,,schroot,,,,,,,,,,SCHROOT,,,SCHROOT,Van Dale,abr.artefact.1975,,,
https://data.cultureelerfgoed.nl/term/id/rn/a6da7d05-bb27-4e1a-900d-928e637a60c3,,,slak,,,,,,,,,,SLAK,,,SLAK,Van Dale,abr.artefact.1985,,,
https://data.cultureelerfgoed.nl/term/id/rn/ef768074-871d-4588-b26c-cd0aea7c45d3,,,,metaalslak,,,,,,,,,SLAK.METAAL,,,SLAK.METAAL,Van Dale,9001,,,
https://data.cultureelerfgoed.nl/term/id/rn/ec467666-54c9-414d-b501-f56283281e47,,,,glasslak,,,,,,,,,SLAK.GLAS,,,SLAK.GLAS,Van Dale,9000,,,
https://data.cultureelerfgoed.nl/term/id/rn/60d7f7c0-8600-4026-b7b2-97eff5419723,,,houtskool,,,,,,,,,,HOUTSKL,,,HOUTSKL,vandale.nl,abr.artefact.0904,,,
https://data.cultureelerfgoed.nl/term/id/rn/c8db3047-ccde-493c-a76e-943af6f940a4,,misbaksel,,,,,,,,,,,MISBAKSL,,"Alle keramiek waarbij in een bepaalde fase van het productieproces onherstelbare problemen zijn gerezen, waarna het object is weggegooid.",MISBAKSL,,abr.artefact.1370,,,MISBAKSL
https://data.cultureelerfgoed.nl/term/id/rn/68ec981e-7b44-4d9e-9007-80e9de07525d,,muziekinstrument,,,,,,,,,,,MUZIEK,,Voorwerp om muziek mee voort te brengen.,MUZIEK,vandale.nl,abr.artefact.1454,,,MUZIEK
https://data.cultureelerfgoed.nl/term/id/rn/ba0a5e92-794b-4595-b6e4-44fbe8b0b20f,,,bel,,,,,,,,,,MUZIEK.BEL,,,MUZIEK.BEL,,8080,,,
https://data.cultureelerfgoed.nl/term/id/rn/0391e25c-5149-4838-a16a-bbfe5978f49b,,,mondharp,,,,,,,,,,MUZIEK.MONDHARP,,"Klein ijzeren muziekinstrument met een tong, dat tussen de tanden genomen wordt en, wanneer men met de duim tegen die tong slaat, melodische tonen voortbrengt.",MUZIEK.MONDHARP,Van Dale,abr.artefact.1458,,,MONDHARP
