uri,code,concept1,concept2,concept3,concept4,altLabel1,altLabel2
https://data.cultureelerfgoed.nl/term/id/rn/db8feb21-8ddc-432f-8062-a3a15f7f7cf4,SXX,steen,,,,,
https://data.cultureelerfgoed.nl/term/id/rn/c4a69d43-2ea4-41c7-8d9b-0a26d52ca50e,SMO,,mortel,,,,
https://data.cultureelerfgoed.nl/term/id/rn/4d2b6f51-c9bc-42c7-ad1f-8b7022fa3953,SVU,,vuursteen,,,,
https://data.cultureelerfgoed.nl/term/id/rn/052428c7-6d1e-4680-8786-319fa8c1fa51,SVV,,,valkenburg,,,
https://data.cultureelerfgoed.nl/term/id/rn/1e7d4f0b-46dd-4158-92f5-6fb55ffcb498,SVR,,,rijckholt,,,
https://data.cultureelerfgoed.nl/term/id/rn/330568c0-5b8a-41a8-9032-fed1012bde04,SVH,,,helgoland,,,
https://data.cultureelerfgoed.nl/term/id/rn/e063fc0a-b9b4-4064-a257-e6a5f5d6475e,STX,,natuursteen,,,,
https://data.cultureelerfgoed.nl/term/id/rn/7bc85fbe-f717-4520-96dd-79a37893e76c,SJA,,,jadeiet,,,
https://data.cultureelerfgoed.nl/term/id/rn/41cbaf7a-90c8-42c2-bf1e-2ac78b6162ef,SHE,,,helleflint,,,
https://data.cultureelerfgoed.nl/term/id/rn/d1c831e9-2f73-4cad-a8d0-fb21e006c103,SLE,,,leisteen,,,
https://data.cultureelerfgoed.nl/term/id/rn/6e5ddeca-8517-4532-8863-348182882ec4,SGU,,,grauwacke,,,
https://data.cultureelerfgoed.nl/term/id/rn/98b7c66a-fe99-4ff4-8cbe-11c010e1506c,STU,,,tufsteen,,,
https://data.cultureelerfgoed.nl/term/id/rn/e6b3d8f1-a746-4b9a-8318-08f9a19dc883,SMA,,,marmer,,,
https://data.cultureelerfgoed.nl/term/id/rn/661ecde9-eeef-4cb5-b465-0df6b61cfcf1,SGA,,,gabbro,,,
https://data.cultureelerfgoed.nl/term/id/rn/74ac3c69-4a26-435b-b1aa-890f28993e9d,SGR,,,graniet,,,
