Word  actual_tag  prediction
‘  [']  O
Zonnen  [Zonnen]  O
op  [op]  O
Gods  [Gods]  O
akker  [akker]  O
’  [']  O

en  [en]  O
betreft  [be][tref][t]  O
het  [het]  O
Hollandveen  [Hollandveen]  O
Laagpakket  [Laagpakket]  O
.  [.]  O

Op  [op]  O
en  [en]  O
in  [in]  O
dit  [dit]  O
veenpakket  [veen][pakket]  O
zijn  [zijn]  O
bedding  [bedding]  O
-  [-]  O
en  [en]  O
restgeulafzettingen  [rest][geulaf][zet][ing][en]  O
en  [en]  O
komafzettingen  [komaf][zet][ing][en]  O
van  [van]  O
deze  [deze]  O
rivier  [rivier]  O
aanwezig  [aanwezig]  O
.  [.]  O

De  [de]  O
stroomgordel  [stroom][gordel]  O
is  [zijn]  O
ontstaan  [ont][sta]  O
vóórdat  [vóórdat]  O
de  [de]  O
mens  [mens]  O
het  [het]  O
land  [land]  O
in  [in]  O
de  [de]  O
Late  [Late]  O
Middeleeuwen  [Middeleeuwen]  O
op  [op]  O
grootschalige  [groot][schaal][ig][e]  O
wijze  [wijze]  O
in  [in]  O
cultuur  [cultuur]  O
bracht  [breng][t]  O
.  [.]  O

Vooralsnog  [voor][alsnog]  O
wordt  [word][t]  O
uitgegaan  [uit][ge][ga]  O
van  [van]  O
een  [een]  O
beginfase  [beg][in][fase]  O
van  [van]  O
circa  [circa]  O
300  [300]  O
na  [na]  O
Chr.  [Chr.]  O
,  [,]  O
maar  [maar]  O
een  [een]  O
oudere  [oud][er][e]  O
datum  [datum]  O
is  [zijn]  O
wel  [wel]  O
aannemelijk  [aan][neem][elijk]  O
.5  [.5]  O
Deze  [deze]  O
jongere  [jong][ere]  O
stroomgordelafzettingen  [stroom][gordelaf][zet][ing][en]  O
staan  [sta]  O
bekend  [bekend]  O
onder  [onder]  O
de  [de]  O
naam  [naam]  O
die  [die]  O
de  [de]  O
rivier  [rivier]  O
in  [in]  O
de  [de]  O
Late  [Late]  O
Middeleeuwen  [Middeleeuwen]  O
kreeg  [krijg]  O
,  [,]  O
namelijk  [namelijk]  O
de  [de]  O
Dubbel  [dubbel]  O
.  [.]  O

De  [de]  O
rivierafzettingen  [rivier][af][zet][ing][en]  O
worden  [word][en]  O
gerekend  [ge][reken][d]  O
tot  [tot]  O
de  [de]  O
Formatie  [formeer][atie]  O
van  [van]  O
Echteld  [Echteld]  O
.  [.]  O

In  [in]  O
het  [het]  O
plangebied  [plan][gebied]  O
zijn  [zijn]  O
beide  [beide]  O
oeverzones  [oever][zone][s]  O
aanwezig  [aanwezig]  O
.  [.]  O

Het  [het]  O
is  [zijn]  O
bekend  [bekend]  O
dat  [dat]  O
de  [de]  O
Dubbel  [dubbel]  O
geen  [geen]  O
duidelijk  [duid][elijk]  O
herkenbare  [her][ken][baar][e]  O
oeverwallen  [oeverwallen]  O
heeft  [heb][t]  O
gevormd  [gevormd]  O
op  [op]  O
het  [het]  O
niet-geërodeerde  [niet][geërodeer][de]  O
veenlandschap  [veenland][schap]  O
.  [.]  O

Lokaal  [lokaal]  O
kunnen  [kan][en]  O
wel  [wel]  O
dikke  [dik][e]  O
pakketten  [pakket][en]  O
zogenaamde  [zo][genaamd][e]  O
kronkelwaardafzettingen  [kronkel][waard][af][zet][ing][en]  O
voorkomen  [voorkom][en]  O
,  [,]  O
maar  [maar]  O
deze  [deze]  O
zijn  [zijn]  O
alleen  [alleen]  O
afgezet  [af][ge][zet]  O
binnen  [binnen]  O
de  [de]  O
maximale  [maximum][aal][e]  O
stroombreedte  [stroombreed][te]  O
van  [van]  O
de  [de]  O
geul  [geul]  O
.  [.]  O

Ze  [ze]  O
bestaan  [bestaan]  O
uit  [uit]  O
sedimenten  [sediment][en]  O
die  [die]  O
zijn  [zijn]  O
afgezet  [af][ge][zet]  O
op  [op]  O
locaties  [locatie][s]  O
waar  [waar]  O
de  [de]  O
stroomsnelheden  [stroom][snel][heid][en]  O
afnemen  [af][neem][en]  O
na  [na]  O
een  [een]  O
verlegging  [ver][leg][ing]  O
van  [van]  O
de  [de]  O
actieve  [actie][f][e]  O
geul  [geul]  O
.  [.]  O

Hierbij  [hier][bij]  O
worden  [word][en]  O
lokaal  [lokaal]  O
,  [,]  O
vaak  [vaak]  O
op  [op]  O
de  [de]  O
oudere  [oud][er][e]  O
geulafzettingen  [geulaf][zet][ing][en]  O
,  [,]  O
oeverwal-achtige  [oe][ver][wal-achtig][e]  O
pakketten  [pakket][en]  O
afgezet  [af][ge][zet]  O
in  [in]  O
de  [de]  O
binnenbochten  [binnen][bocht][en]  O
en  [en]  O
de  [de]  O
zone  [zone]  O
die  [die]  O
tegenovergesteld  [tegenover][ge][stel][d]  O
is  [zijn]  O
aan  [aan]  O
de  [de]  O
richting  [richt][ing]  O
van  [van]  O
de  [de]  O
verlegde  [ver][leg][de]  O
geul  [geul]  O
.  [.]  O

Op  [op]  O
het  [het]  O
niet-geërodeerde  [niet][geërodeer][de]  O
veenlandschap  [veenland][schap]  O
heeft  [heb][t]  O
de  [de]  O
Dubbel  [dubbel]  O
een  [een]  O
laag  [laag]  O
klei  [klei]  O
afgezet  [af][ge][zet]  O
die  [die]  O
overal  [overal]  O
,  [,]  O
ook  [ook]  O
direct  [direct]  O
aan  [aan]  O
weerszijden  [weerszijde][n]  O
van  [van]  O
de  [de]  O
geul  [geul]  O
,  [,]  O
kan  [kan]  O
worden  [word][en]  O
geïnterpreteerd  [ge][interpreteer][d]  O
als  [als]  O
een  [een]  O
komklei  [kom][klei]  O
.  [.]  O

De  [de]  O
laag  [laag]  O
heeft  [heb][t]  O
gemiddeld  [gemiddeld]  O
een  [een]  O
dikte  [dik][te]  O
tussen  [tussen]  O
circa  [circa]  O
10  [10]  O
en  [en]  O
30  [30]  O
cm.  [cm.]  O

Het  [het]  O
middeleeuwse  [middel][eeuw][s][e]  O
landschap  [land][schap]  O
:  [:]  O
de  [de]  O
Groote  [Groote]  O
Waard  [Waard]  O
De  [de]  O
top  [top]  O
van  [van]  O
de  [de]  O
hierboven  [hier][boven]  O
genoemde  [genoemde]  O
komkleiafzetting  [kom][kleiaf][zet][ing]  O
was  [zijn]  O
gedurende  [gedurende]  O
de  [de]  O
Late  [Late]  O
Middeleeuwen  [Middeleeuwen]  O
het  [het]  O
maaiveldniveau  [maai][veld][niveau]  O
.  [.]  O

Het  [het]  O
komkleipakket  [kom][klei][pakket]  O
was  [zijn]  O
zeer  [zeer]  O
geschikt  [ge][schik][t]  O
voor  [voor]  O
akkerbouw  [akker][bouw]  O
.  [.]  O

Vanaf  [vanaf]  O
circa  [circa]  O
de  [de]  O
10e-  [10e-]  O
11e  [11e]  O
eeuw  [eeuw]  O
werd  [word]  O
een  [een]  O
begin  [begin]  O
gemaakt  [ge][maak][t]  O
met  [met]  O
het  [het]  O
in  [in]  O
cultuur  [cultuur]  O
brengen  [breng][en]  O
van  [van]  O
het  [het]  O
veenlandschap  [veenland][schap]  O
,  [,]  O
waardoor  [waar][door]  O
het  [het]  O
geschikt  [ge][schik][t]  O
werd  [word]  O
voor  [voor]  O
landbouw  [land][bouw]  O
en  [en]  O
bewoning  [be][woon][ing]  O
.  [.]  O

In  [in]  O
eerste  [een][ste]  O
instantie  [instantie]  O
zullen  [zal][en]  O
de  [de]  O
oevers  [oever][s]  O
van  [van]  O
de  [de]  O
grote  [groot][e]  O
rivieren  [rivier][en]  O
hierbij  [hier][bij]  O
gediend  [ge][dien][d]  O
hebben  [heb][en]  O
als  [als]  O
‘  [']  O
ontginningsassen  [ontgin][ing][s][as][en]  O
’  [']  O
