"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
92.00,97296.00,"ARCHITECTURAL COMPONENT","Y","Monument whose existence is inferred from the traces of architectural features. Eg include shadow marks on building walls or beams, pillars, floors incorporated into a later structure, suggesting the existence of an earlier building.","P",
92.00,102678.00,"Partially Demolished Building","N","Double index with DEMOLISHED BUILDING plus EXTANT BUILDING or RUINED BUILDING or STRUCTURE as appropriate.","N",
92.00,102679.00,"Partially Destroyed Monument","N","Double index with DESTROYED MONUMENT plus EXTANT BUILDING or RUINED STRUCTURE or STRUCTURE as appropriate.","N",
92.00,99691.00,"BOTANICAL FEATURE","Y","A monument composed of plants or trees which are still extant. Especially relevant for park and garden features. For example tree avenue, orchard, rose garden and lawn.","P",
92.00,111153.00,"UNSTRATIFIED FIND","Y","Monument whose presence is inferred by discovery of unstratified artefacts, for instance in plough soil.","P",
92.00,97291.00,"EXTANT BUILDING","Y","Monument with roof or walls intact or substantially intact, significant survival of original features, even if building no longer in use for original function.","P",
92.00,97294.00,"PHYSICAL EVIDENCE","N","Not to be used for indexing. Broad term used to assist retreival of all monuments where physical evidence is recorded.","P",
92.00,100512.00,"STRATIFIED FIND","Y","A Monument whose presence is inferred from artefacts found in stratified below ground deposits, as distinct from surface collection or chance find.","P",
92.00,100511.00,"MODIFIED SURFACE","Y","A monument where the evidence that defines the type of the monument derives from the nature of surface markings. Examples include graffitti on quarry walls.","P",
92.00,100510.00,"DEMOLISHED BUILDING","Y","A monument previously consisting of a built structure, but which has been demolished, such that only a ground plan and foundations or similar are thought to remain. Where all below ground traces have also been removed use DESTROYED MONUMENT.","P",
92.00,97293.00,"IMPLIED EVIDENCE","N","Not to be used for indexing. Broad term to assist retreival of all monuments where non-physical evidence is recorded.","P",
92.00,99984.00,"Ap Enclosure","N","Term derived from NAR MONUMENT FORM","N",
92.00,99980.00,"Other Structure","N","Term derived from AN32 Glossary","N",
92.00,99985.00,"Ap Linear Feature","N","Term derived from NAR MONUMENT FORM","N",
92.00,99990.00,"Building - Bonded","N","Term derived from EH RSM Form list","N",
92.00,99982.00,"SOILMARK","Y","Monument visible, usually from the air, due to the fill of features being of a different colour than the surrounding subsoil. Soilmarks show up well in ploughed fields or areas where the topsoil has been stripped.  Term derived from AN32 Glossary","P",
92.00,99983.00,"Ap Site","N","Term derived from NAR MONUMENT FORM","N",
92.00,99989.00,"Destroyed","N","Term derived from the 1993 Data Standard","N",
92.00,99991.00,"Building - Other","N","Term derived from EH RSM Form list","N",
92.00,99987.00,"Submerged","N","Term derived from 1993 Data Standard","N",
92.00,99981.00,"Standing  Monument","N","Term derived from AN32 Glossary","N",
92.00,99979.00,"Roofed Ruin","N","Term derived from AN32 Glossary","N",
92.00,99978.00,"Building Complex","N","Term derived from AN32 Glossary","N",
92.00,99976.00,"MARINE GEOPHYSICAL EVIDENCE","Y","A monument visible as a trace on marine survey equipment","P",
92.00,99975.00,"SUBMERGED MONUMENT","Y","Monument visible on the sea, lake or river bed, either totally submerged at all times, or exposed at low tide, low water conditions etc.","P",
92.00,99986.00,"Ap Macula","N","Term derived from NAR MONUMENT FORM","N",
92.00,99974.00,"LEVELLED EARTHWORK","Y","Monument visible as remains of former earthworks.","P",
