"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
73.00,141284.00,"ELM","Y","A hard, durable wood obtained from trees of the genus Ulmus.","P",
73.00,144480.00,"FELT","Y",,"P",
73.00,146408.00,"ALABASTER","Y","Alabaster is a name applied to varieties of two distinct minerals: gypsum and calcite. The finer kinds of alabaster are employed as an ornamental stone, especially for internal decoration as it's softness allows it to be carved into elaborate forms.","P",
73.00,141973.00,"SPRUCE","Y","A light, soft, moderately-strong wood obtained from trees of the genus Picea.","P",
73.00,141974.00,"TAMARAC","Y","North American wood, the name being applied either to the American Larch; or to the Black or Ridge-pole Pine of inland areas; and the Scrub Pine of maritime regions.","P",
73.00,170732.00,"Aluminum","N",,"N",
73.00,166989.00,"VARISCITE","Y","A brownish-red mineral commonly used as a semi-precious gemstone. A variety of the silica mineral chalcedony coloured by impurities of iron oxide.","P",
73.00,170837.00,"ARGILLITE","Y","A fine-grained sedimentary rock composed mainly of indurated clay particles which is not as fissile as shale.","P",
73.00,170818.00,"TOTTERNHOE CLUNCH","Y","A relatively hard type of chalk that is sufficiently strong for use as a building stone. Quarried at Totternhoe, Bedfordshire.","P",
73.00,170819.00,"ASH","Y","A native, broadleaf tree of the Fraxinus species, native to Europe.","P",
73.00,159154.00,"ALUMINIUM","Y","A white ductile metal used, for example, in alloys, for instruments, and in aircraft construction.","P",
73.00,166986.00,"CARNELIAN","Y","A brownish-red mineral commonly used as a semi-precious gemstone. A variety of the silica mineral chalcedony coloured by impurities of iron oxide.","P",
73.00,166987.00,"Cornelian","N",,"N",
73.00,166988.00,"PLASTER","Y","A building material used for coating walls and ceilings. Plaster can refer to gypsum plaster (also known as plaster of Paris), lime plaster, or cement plaster.","P",
73.00,170820.00,"SAPPHIRE","Y","A blue coloured gem variety of the mineral corunndum, made up of aluminium oxide.","P",
73.00,170108.00,"PAPER","Y","A thin, flexible material made from the pulp of wood or other fibrous matter which is then pressed and dried to form sheets.","P",
73.00,160444.00,"EBONY","Y","Dark and dense hardwood timber which may be sourced from various species of true ebony from southern Asia and Africa, but the name may also be given to dark hardwoods from elsewhere, e.g. the Americas.","P",
73.00,166992.00,"GARNET","Y","A silicate mineral used since the Bronze Age as gemstones and abrasives. Found in many colours including red, orange, yellow, green, purple, brown, blue, black, pink and colourless.","P",
73.00,169900.00,"RUBBER","Y","Elastic polymeric substance made from the latex of a tropical plant or synthetically.","P",
73.00,163222.00,"COAL","Y","Use for objects made from coal or for stray finds of coal where the association with a wreck site is not proven and thus cannot be stated as either cargo or bunkers.","P",
73.00,166993.00,"EMERALD","Y","A green coloured gemstone. A variety of the mineral beryl coloured green by trace amounts of chromium and sometimes vanadium.","P",
73.00,164107.00,"HAZEL","Y","A commonly coppiced wood from the genus Corylus.","P",
73.00,164110.00,"PUDDINGSTONE","Y","Conglomerate consisting of rounded flint pebbles held together in a natural silica and sand cement.","P",
73.00,164111.00,"HERTFORDSHIRE PUDDINGSTONE","Y","A conglomerate rock comprising well rounded flint pebbles in a very hard matrix of fine pale coloured sand, bound together by hard natural silica cement. The pebbles are usually coloured ochre or red and have black rims.","P",
73.00,170109.00,"CHARCOAL","Y","The black, lightweight and porous residue of partly burnt wood.","P",
73.00,160192.00,"CHALK","Y","Soft, white, porous sedimentary rock, a form of limestone composed of the mineral calcite.","P",
73.00,170838.00,"HYDROCARBON","Y","An organic chemical compound composed exclusively of hydrogen and carbon atoms.","P",
73.00,169986.00,"BAKELITE","Y","An early plastic formed from a condensation reaction of phenol with formaldehyde which was developed by Leo Baekeland in 1907.","P",
73.00,166991.00,"AMETHYST","Y","A purple or violet variety of quartz often used in jewelry. Amethyst is a semi-precious stone which owes its violet colour to irridation, iron impurities, and the presence of  trace elements, which result in complex crystal lattice substitutions.","P",
73.00,170068.00,"AMPHIBOLITE","Y","A coarse grained metamorphic rock that is composed maily of green, brown or black amphibole minerals and plagioclase feldspar. Amphiboles are usually members of the hornblende group.","P",
73.00,164394.00,"LARCH","Y","A deciduous conifer native to Britain and Europe supplying durable and waterproof timber suitable for shipbuilding features such as masts.","P",
73.00,170069.00,"SILTSTONE","Y","A sedimentary rock primarily composed of silt sized particles.","P",
73.00,170070.00,"MUDSTONE","Y","A sedimantary rock composed of fine grained clay particles. Flaky mudstone is called shale.","P",
73.00,166990.00,"Utahlite","N",,"N",
73.00,152383.00,"TEAK","Y","A strong durable wood originating in India and south-east Asia.","P",
73.00,75398.00,"SHALE","Y","Soft, very fine grained, dark coloured, sedimentary rock which splits easily.","P",
73.00,75370.00,"IVORY","Y","A hard, white, fine-grained substance forming the main part of the tusks of elephants, walruses, hippos and narwhals.","P",
73.00,75379.00,"MARBLE","Y","Collective name for, in a true geological sense, a metamorphosed limestone, eg. Carrara marble, and, in the British sense any decorative stone that will take a polish, eg. Purbeck marble. In the latter's case index with specific stone type where given","P",
73.00,75377.00,"LIMESTONE","Y","Sedimentary rock consisting mainly of calcium carbonate. Varying in grain size, colour and hardness, quarried and used throughout the country.","P",
73.00,75376.00,"LEATHER","Y","Animal skin that has been hardened or treated by a tanning process.","P",
73.00,75374.00,"LEAD","Y","Metal used primarily for roof coverings and window fittings. It is easy to work, can be worked cold and does not rust which makes it suitable for holding or repelling water.","P",
73.00,75373.00,"LAVA","Y","A hard, igneous rock formed from the cooling of molten volcanic magma.","P",
73.00,75358.00,"FAIENCE","Y","A glass-like compound first made in ancient Egypt. It involves coating a core material of powdered quartz with a vitreous alkaline glaze. Also the name given to a tin-glazed earthenware.","P",
73.00,75371.00,"JADEITE","Y","A hard, translucent variety of jade which is rarer than the other varieties of nephrite as a result considered to be the best and very desirable.","P",
73.00,75411.00,"TOOTH","Y","A hard, bone-like material obtained from animal teeth.","P",
73.00,75369.00,"IRON","Y","A malleable, ductile ferromagnetic metal widely used for structural and decorative purposes.","P",
73.00,75394.00,"POTTERY","Y","A ceramic made from clay and fired in a kiln or oven. This term has been used interchangeably with EARTHENWARE and with TERRACOTTA","P",
73.00,75364.00,"GREENSTONE","Y","Geologist's term for any dark coloured, slightly metamorphosed igneous rock. Index with specific stone type where given.","P",
73.00,75362.00,"GOLD","Y","A malleable, ductile ferromagnetic metal widely used for structural and decorative purposes.","P",
73.00,75361.00,"GLASS","Y","Transparent, hard substance made by fusing soda-silica which solidifies from a molten state.","P",
