"*post-hole: group","Term Number","64"
"*post-hole: group","STA","Approved"
"*post-hole: group","TYP","Descriptor"
"*post-hole: group","INP","12/20/2007"
"*post-hole: group","APP","12/20/2007"
"*post-hole: group","UPD","12/20/2007"
"<building>","Term Number","9"
"<building>","STA","Approved"
"<building>","TYP","Descriptor"
"<building>","INP","12/20/2007"
"<building>","APP","12/20/2007"
"<building>","UPD","12/20/2007"
"<corn-drying oven>","Term Number","11"
"<corn-drying oven>","STA","Approved"
"<corn-drying oven>","TYP","Descriptor"
"<corn-drying oven>","INP","12/20/2007"
"<corn-drying oven>","APP","12/20/2007"
"<corn-drying oven>","UPD","12/20/2007"
"<ditch overall>","Term Number","21"
"<ditch overall>","STA","Approved"
"<ditch overall>","TYP","Descriptor"
"<ditch overall>","INP","12/20/2007"
"<ditch overall>","APP","12/20/2007"
"<ditch overall>","UPD","12/20/2007"
"<drain>","Term Number","24"
"<drain>","STA","Approved"
"<drain>","TYP","Descriptor"
"<drain>","INP","12/20/2007"
"<drain>","APP","12/20/2007"
"<drain>","UPD","12/20/2007"
"<four-post structure>","Term Number","33"
"<four-post structure>","STA","Approved"
"<four-post structure>","TYP","Descriptor"
"<four-post structure>","INP","12/20/2007"
"<four-post structure>","APP","12/20/2007"
"<four-post structure>","UPD","12/20/2007"
"<hearth>","Term Number","37"
"<hearth>","STA","Approved"
"<hearth>","TYP","Descriptor"
"<hearth>","INP","12/20/2007"
"<hearth>","APP","12/20/2007"
"<hearth>","UPD","12/20/2007"
"<kiln>","Term Number","41"
"<kiln>","STA","Approved"
"<kiln>","TYP","Descriptor"
"<kiln>","INP","12/20/2007"
"<kiln>","APP","12/20/2007"
"<kiln>","UPD","12/20/2007"
"<oven>","Term Number","52"
"<oven>","STA","Approved"
"<oven>","TYP","Descriptor"
"<oven>","INP","12/20/2007"
"<oven>","APP","12/20/2007"
"<oven>","UPD","12/20/2007"
"<road>","Term Number","73"
"<road>","STA","Approved"
"<road>","TYP","Descriptor"
"<road>","INP","12/20/2007"
"<road>","APP","12/20/2007"
"<road>","UPD","12/20/2007"
"<structure>","Term Number","81"
"<structure>","STA","Approved"
"<structure>","TYP","Descriptor"
"<structure>","INP","12/20/2007"
"<structure>","APP","12/20/2007"
"<structure>","UPD","12/20/2007"
"<well>","Term Number","94"
"<well>","STA","Approved"
"<well>","TYP","Descriptor"
"<well>","INP","12/20/2007"
"<well>","APP","12/20/2007"
"<well>","UPD","12/20/2007"
"animal disturbance","Term Number","1"
"animal disturbance","STA","Approved"
"animal disturbance","TYP","Descriptor"
"animal disturbance","INP","12/20/2007"
"animal disturbance","APP","12/20/2007"
"animal disturbance","UPD","12/20/2007"
"animal disturbance: fill","Term Number","2"
"animal disturbance: fill","STA","Approved"
"animal disturbance: fill","TYP","Descriptor"
"animal disturbance: fill","INP","12/20/2007"
"animal disturbance: fill","APP","12/20/2007"
"animal disturbance: fill","UPD","12/20/2007"
"ard mark","Term Number","3"
"ard mark","STA","Approved"
"ard mark","TYP","Descriptor"
"ard mark","INP","12/20/2007"
"ard mark","APP","12/20/2007"
"ard mark","UPD","12/20/2007"
