Word  actual_tag  prediction
The  O  O
feature  O  O
measured  O  O
c.  O  O
3.5  O  O
m  O  O
wide  O  O
and  O  O
0.28  O  O
m  O  O
deep  O  O
,  O  O
and  O  O
was  O  O
filled  O  O
with  O  O
dark  O  O
brown  O  O
stone-free  O  O
clayey  O  O
silt  O  O
loam  O  O
containing  O  O
numerous  O  O
dark  O  O
reddish  O  O
brown  O  O
mottles  O  O
(  O  O
fill  O  O
362103  O  O
)  O  O
.  O  O

Trench  O  O
3623TT  O  O
(  O  O
Figure  O  O
5  O  O
)  O  O
2.3.12  O  O
Post-hole  B-CON  O
362304  O  O
comprised  O  O
a  O  O
slightly  O  O
elliptical  O  O
subcircular  O  O
feature  O  O
measuring  O  O
0.28  O  O
m  O  O
long  O  O
(  O  O
south-east  O  O
to  O  O
north-west  O  O
)  O  O
,  O  O
0.25  O  O
m  O  O
wide  O  O
and  O  O
up  O  O
to  O  O
0.13  O  O
m  O  O
deep  O  O
with  O  O
a  O  O
very  O  O
steep  O  O
south-east  O  O
side  O  O
,  O  O
moderate  O  O
north-west  O  O
side  O  O
and  O  O
narrow  O  O
pointed  O  O
base  O  O
.  O  O

It  O  O
was  O  O
filled  O  O
with  O  O
mid  O  O
brown  O  O
silty  O  O
clay  O  O
(  O  O
fill  O  O
362303  O  O
)  O  O
with  O  O
frequent  O  O
small  O  O
fragments  O  O
of  O  O
subangular  O  O
limestone  O  O
.  O  O

Trench  O  O
3625TT  O  O
(  O  O
Figure  O  O
5  O  O
)  O  O
2.3.13  O  O
Pit  B-CON  B-CON
362504  O  O
comprised  O  O
a  O  O
slightly  O  O
irregular  O  O
kidney-shaped  O  O
medieval  B-PER  B-PER
feature  O  O
measuring  O  O
1.6  O  O
m  O  O
long  O  O
(  O  O
north-east  O  O
to  O  O
south-west  O  O
)  O  O
by  O  O
1.4  O  O
m  O  O
wide  O  O
on  O  O
the  O  O
surface  O  O
,  O  O
descending  O  O
into  O  O
a  O  O
more  O  O
regular  O  O
circular  O  O
feature  O  O
measuring  O  O
c.  O  O
1  O  O
m  O  O
in  O  O
diameter  O  O
towards  O  O
the  O  O
base  O  O
.  O  O

The  O  O
feature  O  O
had  O  O
irregular  O  O
slightly  O  O
stepped  O  O
sides  O  O
and  O  O
a  O  O
slightly  O  O
rounded  O  O
base  O  O
,  O  O
and  O  O
was  O  O
filled  O  O
with  O  O
mid  O  O
brown  O  O
silty  O  O
clay  O  O
(  O  O
fill  O  O
362503  O  O
)  O  O
with  O  O
occasional  O  O
small  O  O
subangular  O  O
fragments  O  O
of  O  O
limestone  O  O
,  O  O
as  O  O
well  O  O
as  O  O
fragments  O  O
of  O  O
roof  B-ART  B-ART
tile  I-ART  I-ART
and  O  O
animal  B-SPE  B-SPE
bone  B-ART  B-ART
.  O  O

Trench  O  O
3627TT  O  O
(  O  O
Figure  O  O
6  O  O
)  O  O
2.3.14  O  O
Trench  O  O
3627TT  O  O
contained  O  O
14  O  O
archaeological  O  O
features  O  O
,  O  O
including  O  O
eight  O  O
ditches  B-CON  B-CON
(  O  O
ditches  B-CON  B-CON
362704  O  O
,  O  O
362712  O  O
,  O  O
362714  O  O
,  O  O
362715  O  O
,  O  O
362718  O  O
,  O  O
362719  O  O
,  O  O
362721  O  O
and  O  O
362725  O  O
)  O  O
,  O  O
two  O  O
post-holes  B-CON  B-CON
(  O  O
362706  O  O
and  O  O
362732  O  O
)  O  O
,  O  O
one  O  O
stake-hole  B-CON  B-CON
(  O  O
362730  O  O
)  O  O
,  O  O
one  O  O
pit  B-CON  B-CON
(  O  O
362708  O  O
)  O  O
,  O  O
one  O  O
hearth  B-CON  B-CON
pit  I-CON  I-CON
(  O  O
362727  O  O
)  O  O
and  O  O
one  O  O
possible  O  O
foundation  B-CON  B-CON
trench  I-CON  I-CON
(  O  O
362723  O  O
)  O  O
.  O  O

The  O  O
evidence  O  O
appears  O  O
to  O  O
indicate  O  O
at  O  O
least  O  O
three  O  O
phases  O  O
of  O  O
activity  O  O
within  O  O
this  O  O
trench  O  O
,  O  O
dated  O  O
to  O  O
the  O  O
Late  B-PER  B-PER
Bronze  I-PER  I-PER
Age  I-PER  I-PER
,  O  O
Late  B-PER  B-PER
Iron  I-PER  I-PER
Age  I-PER  I-PER
and  O  I-PER
medieval  B-PER  I-PER
periods  O  I-PER
.  O  O

2.3.15  O  O
Dating  O  O
evidence  O  O
recovered  O  O
from  O  O
these  O  O
features  O  O
suggests  O  O
that  O  O
a  O  O
considerable  O  O
amount  O  O
of  O  O
residual  O  O
and/or  O  O
intrusive  O  O
action  O  O
has  O  O
occurred  O  O
.  O  O

At  O  O
least  O  O
six  O  O
of  O  O
the  O  O
features  O  O
contain  O  O
datable  O  O
artefacts  O  O
from  O  O
two  O  O
or  O  O
more  O  O
of  O  O
the  O  O
periods  O  O
identified  O  O
.  O  O

2.3.16  O  O
Ditch  B-CON  B-CON
362704  O  O
comprised  O  O
a  O  O
north  O  O
to  O  O
south  O  O
aligned  O  O
Late  B-PER  B-PER
Iron  I-PER  I-PER
Age  I-PER  I-PER
linear  O  B-CON
feature  O  O
extending  O  O
beyond  O  O
the  O  O
